LE DICTIONNAIRE FRANCO-QUEBECOIS

Par Brigitte (Francaise) et Ginette (Quebecoise)

Voici quelques mots Quebecois et leur traduction Francaise
Parfois c'est assez surprenant _Amusez-vous !

 

A
A c't'heure  =====>  A present
Accommodation =====>  Petite epicerie
Accommoder  =====> Rendre service a
Achaler  =====> Contrarier, ennuyer
Accoter ('s)  =====> Vivre en concubinage
Agace-pissette =====>  Une allumeuse
Appointement  =====> Rendez-vous
Attriquer ('s)  =====> S'habiller de maniere ridicule
Aubaine =====>  Rabais

B
Badlucke (etre)  =====> Etre malchanceux
Balayeuse  =====> Aspirateur
Baloune  =====> Ballon
Bardasser  =====> Faire du bordel
Barrer =====>  Fermer (a clef)
Bas  =====>  Chaussettes
Batterie =====>  Pile
Bazou  =====> Vielle voiture
Beans  =====>  Haricots
Bebelles  =====> Jouets
Bec  =====> Petit baiser
Becher  =====> Tomber la tete en premiere
Becosses  =====> Toilettes
Becyque  =====> Bicyclette
Beigne  =====> Beignet
Beurre de peanut =====>  Beurre d'arachides
Bibitte  =====> Insecte ou animal inconnu
Bicycle a gaz  =====> Moto
Bidoux (des) =====>  De l'argent
Bienvenue =====>  Il n'y a pas de quoi, a votre service
Bin  =====> Bien
Bines  =====> Flageolets
Ble d'Inde  =====>  Mais en epi
Bleus (avoir les) =====>  Avoir le cafard
Block  =====> Immeuble, batiment
Blonde  =====> Petite amie
Bobettes  =====> Calecon, sous vetements
Boeufs  =====> Policiers
Boisson  =====> Boisson alcoolisee
Bon en maudit (c'est) =====>  C'est tres bon
Bon en titi (c'est)  =====> C'est tres bon
Bonjour  =====> Au revoir
Boucane  =====> Fumee
Bourre  =====> Plein
Boutique de sexe =====>  Sex-shop
Boutte (C'est au boutte)  =====> C'est le pied
Brailler  =====> Pleurer
Branleux (etre)  =====> Etre indecis
Bras (ca coute un)  =====> Ca coute une fortune
Breuvage  =====> Boisson non alcoolisee
Brosse (prendre une) =====>  Prendre une cuite
Brosser  =====> Se saouler
Broue  =====> Biere
Broue (se taper une) =====>  Se payer une biere
Bye  =====> Au revoir

C
Caler  =====> Perdre ses cheveux
Calotte  =====> Casquette
Camisole  =====> Debardeur
Cannes  =====> Conserve
Canot  =====> Canoe
Capoter  =====> Paniquer
Casse (etre)  =====> Etre fauche
Cassonade  =====> Sucre brun
Caucus  =====> Reunion
Cegep  =====> Lycee superieur
Chambre de bain  =====> Salle de bain
Char  =====> Voiture
Charger  =====> Faire payer
Chaud  =====> Soul
Chaudron  =====> Casserole
Chauffer  =====> Conduire un vehicule
Chaussettes  =====> Pantoufles
Check tes claques =====>  Remue toi
Checker  =====> Verifier
Chedronne  =====> Casserole
Chevals  =====> Chevaux
Chialer  =====> Se plaindre
Chicane  =====> Querelle, dispute
Choque (etre)  =====> Etre fache
Chrisser dehors  =====> Mettre a la porte
Chrisser son camp  =====> Deguerpir
Chum  =====> Petit ami
Citron  =====> Voiture en mauvais etat
Claques  =====> Couvre-Chaussures
Claverder  =====> Tchater (sur internet)
Colleux  =====> Affectueux
Cogner des clous  =====> S'endormir
Comique  =====> Bandes dessinees
Condo =====>  Appartement acquis en copropriete
Coquerelle  =====> Cafard
Coulant  =====> Glissant
Couple (une) =====>  Quelques
Cramper(de rire)  =====> Mort de rire
Craque =====>  Remarque desobligeante
Crise de coeur  =====> Crise cardiaque
Crisse  =====> " Injure "
Croche (etre) =====>  malhonnete
Crotte ====>un sale type, un pourri
Crouser  =====> Draguer
Cruiser  =====> Draguer
Cute  =====> Mignon, mignonne

D
Debarbouillette =====>  Gand pour se laver
Debarquer d'une auto  =====> Descendre d'une voiture
Degre  =====> Diplome
Dejeuner  =====> Petit dejeuner
Demeurer  =====> Habiter
Depanneur  =====> Epicerie ouverte tard le soir
Diner  =====> Dejeuner
Dispendieux  =====> Cher
Doux (mon)  =====> Mon dieu
Dull  =====> Ennuyeux

E
Ecarte (etre) =====>  Etre perdu
